Project ID;Naam;Omschrijving;Opmerking;Rubrieken;Eerste publicatiedatum;Laatste publicatiedatum;Gemuteerd op;Plan;Referentienummer;Aanbestedingsdatum;Verwachte gunningsdatum;Startdatum;Opleverdatum;Bouwfase;Raming;Ramingbedrag;Duurzame eigenschappen;Sloopwerk uitgevoerd;Reden stoppen project;Reden vertraging project;Adres;Toevoeging huisnummer;Postcode;Wijk/buurt;Plaats;Provincie;Land;Externe link;Bouwtype;Aantal bouwlagen van;Aantal bouwlagen t/m;Oppervlakte;Inhoud;BAG Pand ID;BAG Verblijfsobject ID;Organisatie - Organisatie ID;Organisatie - Naam;Organisatie - Website;Organisatie - LinkedIn;Organisatie - Twitter;Organisatie - Kvk-nummer;Organisatie - Vestigingsnummer;Organisatie - Telefoon;Organisatie - Fax;Organisatie - E-mail;Organisatie - Rol;Organisatie - Adresregel 1;Organisatie - Nummer;Organisatie - Adresregel 2;Organisatie - Postcode;Organisatie - Plaats;Organisatie - Postadres Adresregel 1;Organisatie - Postadres Nummer;Organisatie - Postadres Adresregel 2;Organisatie - Postadres Postcode;Organisatie - Postadres Plaats;Organisatie - Contact achternaam;Organisatie - Contact tussenvoegsel;Organisatie - Contact voornaam;Organisatie - Contact initialen;Organisatie - Contact functie;Organisatie - Contact geslacht;Organisatie - Werken Enkelvoudig onderhands;Organisatie - Werken Meervoudig onderhands;Organisatie - Werken Nationale aan-bestedings-procedures;Organisatie - Werken Europese aan-bestedings-procedures;Organisatie - Leveringen Enkelvoudig onderhands;Organisatie - Leveringen Meervoudig onderhands;Organisatie - Leveringen Nationale aan-bestedings-procedures;Organisatie - Leveringen Europese aan-bestedings-procedures;Organisatie - Diensten Enkelvoudig onderhands;Organisatie - Diensten Meervoudig onderhands;Organisatie - Diensten Nationale aan-bestedings-procedures;Organisatie - Diensten Europese aan-bestedings-procedures;Organisatie - Minimaal aantal uit te nodigen leveranciers Enkelvoudig onderhands;Organisatie - Minimaal aantal uit te nodigen leveranciers Meervoudig onderhands;Organisatie - Minimaal aantal uit te nodigen leveranciers Nationale aan-bestedings-procedures;Organisatie - Minimaal aantal uit te nodigen leveranciers Europese aan-bestedings-procedures;Organisatie - Opmerking;Taak - Vervaldatum;Taak - Prioriteit;Taak - Onderwerp;Taak - Omschrijving;Taak - Voltooid;Taak - Eigenaar;Gebouwcode;Bouwmethode;Soort woningen;Aantal woningen;Type woning;Type dak
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;29242;Bouwbedrijf R.A. van Leeuwen BV;www.ravanleeuwen.nl;www.linkedin.com/company/r.a.-van-leeuwen-bouwbedrijf-b.v.;;28022348;000016594053;0172-422000;;info@ravanleeuwen.nl;Hoofdaannemer;Nijverheidsweg;3;;2404 HD;Alphen aan den Rijn;Postbus;2196;;2400 CD;Alphen aan den Rijn;Wit;de;Peter;P.;Projectleider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;280079;Rooms Katholieke Basisschool (RKBS) de Emmaus;https://www.emmausvoorhout.nl/;;;;;0252-223313;;directie.emmaus@sophiascholen.nl;Opdrachtgever;Bonekruidstraat;11;;2215 BG;Voorhout;;;;;;Bierman;;Ilse;I.;Directeur;Vrouw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;3260;Valtos Architecten & Adviseurs BV;www.valtos.nl;www.linkedin.com/company/valtos-architecten-&-adviseurs/about/;;24263669;000010895868;010-4257622;;info@Valtos.nl;Architect;Turfweg;71;;3065 AJ;Rotterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;63396;Technisch Installatie Bureau R. Hijkoop;www.hijkoop.nl;;;51091755;000021180229;0252-232661;;info@hijkoop.nl ;W-Installateur;Wattstraat 1 ;;;2171 TP;SASSENHEIM;Postbus;262;;2170 AG;SASSENHEIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;63396;Technisch Installatie Bureau R. Hijkoop;www.hijkoop.nl;;;51091755;000021180229;0252-232661;;info@hijkoop.nl ;S-Installateur;Wattstraat 1 ;;;2171 TP;SASSENHEIM;Postbus;262;;2170 AG;SASSENHEIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;121391;J. van den Burg Installatietechniek B.V;www.jvandenburg.nl;;;28020067;000020474105;0252-212428;;info@jvandenburg.nl;E-Installateur;Vennestraat;11;;2161 LE;LISSE;;;;;;Koning;;Kevin;K.;Werkvoorbereider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;243838;ZRi BV;www.zri.nl;www.linkedin.com/company/zri;twitter.com/zri_nederland;27143118;000018458432;070-3615559;;info@zri.nl;Bouwmanagement;Balistraat;1;;2585 XK;'s-Gravenhage;;;;;;Toor;van;Eden;E.;Projectleider;Vrouw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;basisscholen;Renoveren;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;basisscholen;Uitbreiden;;;;
554076;Basisschool;Uitbreiden / renoveren basisschool Emmaüs met 2 extra klaslokalen / extra voorzieningen aan de Bonekruidstraat.;;Onderwijs;19-6-2023;8-11-2023;8-11-2023;;;;;15-6-2023;31-10-2023;Opgeleverd;500.000 - 999.999;850.000;LED, Zonnepanelen;Ja;;;Bonekruidstraat 11;;2215 BG;;Voorhout;Zuid-Holland;Nederland;;;2;;2500;;1525010000010061;1525100000021123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;basisscholen;Nieuwbouw;;;;
